"attributes.acceleration","attributes.sprintspeed","attributes.agility","attributes.balance","attributes.jumping","attributes.stamina","attributes.strength","attributes.reactions","attributes.aggression","attributes.composure","attributes.interceptions","attributes.positioning","attributes.vision","attributes.ballcontrol","attributes.crossing","attributes.dribbling","attributes.finishing","attributes.freekickaccuracy","attributes.headingaccuracy","attributes.longpassing","attributes.shortpassing","attributes.marking","attributes.shotpower","attributes.longshots","attributes.standingtackle","attributes.slidingtackle","attributes.volleys","attributes.curve","attributes.penalties","attributes.gkdiving","attributes.gkhandling","attributes.gkkicking","attributes.gkreflexes","attributes.gkpositioning","stats.attack","stats.defending","stats.skill","stats.power","stats.movement","stats.mentality","stats.goalkeeper","info.contract.jointeamdate","info.contract.enddate","info.contract.isloanedout","info.nation.id","info.nation.name","info.name.firstname","info.name.lastname","info.name.playerjerseyname","info.name.knownas","info.name.firstnameid","info.name.lastnameid","info.name.playerjerseynameid","info.playerid","info.total_attributes","info.overallrating","info.potential","info.birthdate","info.age","info.teams.club_team.id","info.teams.club_team.name","info.teams.club_team.leagueid","info.teams.club_team.domesticprestige","info.teams.club_team.profitability","info.teams.club_team.slug","info.teams.club_team.jerseynumber","info.league","info.headshot","info.haircolor","info.eyecolor","info.skintone","info.headtype","info.bodytype","info.preferredfoot","info.skillmoves","info.weafoot","info.internationalrep","info.ovrmodifier","info.release_clause","info.height","info.weight","info.gender","info.defensiveworkrate","info.attackingworkrate","info.real_face","info.isretiring","info.valueUSD","info.valueEUR","info.valueGBP","info.wageUSD","info.wageEUR","info.wageGBP","info.traits.trait1","info.traits.trait2","card_attrs.pac","card_attrs.sho","card_attrs.pas","card_attrs.dri","card_attrs.def","card_attrs.phy","primary_position","other_positions","updated","added","removed","slug","real_ovrs.0","real_ovrs.1","real_ovrs.2","real_ovrs.3","real_ovrs.4","real_ovrs.5","real_ovrs.6","real_ovrs.7","real_ovrs.8","real_ovrs.9","real_ovrs.10"
83,83,62,67,68,54,64,52,52,60,28,64,57,69,64,70,61,44,45,56,62,27,63,49,35,34,50,64,48,12,9,6,10,8,57,32,61,60,70,52,9,"2024-08-01","2029-06-01",0,38,"Portugal","Fabio","Baldé","Baldé","Fabio Baldé",11374,3492,3492,74102,1680,66,77,"2005-07-20T00:00:00.000Z",19,28,"Hamburger SV",19,2,2,"hamburger-sv",45,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p74102.png",21,9,10,1000,1,"Right",3,2,1,0,3400000,182,75,"Male",,,"No","No",2200000,1800000,1600000,7500,6400,5500,"","",83,56,58,63,34,60,"LW","RW | LM",false,false,false,"fabio-balde",14,51,49,43,47,65,57,63,64,65,62
66,65,67,54,89,76,80,75,80,73,54,74,72,72,66,70,70,42,84,53,70,59,72,55,59,34,71,69,58,6,11,15,8,14,73,51,62,75,66,69,11,"2025-07-14","2027-06-01",0,13,"Denmark","Yussuf","Poulsen","Poulsen","Yussuf Poulsen",39829,29969,29969,207791,1983,72,72,"1994-06-15T00:00:00.000Z",31,28,"Hamburger SV",19,2,2,"hamburger-sv",15,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p207791.png",3,3,5,1001,5,"Right",3,3,2,0,6500000,192,87,"Male",,,"Yes","No",2300000,2000000,1700000,23500,20000,17000,"Enforcer","Career Injury Prone",66,67,62,69,58,81,"ST","-",false,false,false,"yussuf-poulsen",17,62,61,64,63,69,67,69,70,69,72
42,40,38,33,64,40,69,74,23,28,15,7,50,29,8,20,11,12,10,56,48,12,63,9,15,11,7,13,19,79,75,84,78,78,17,13,26,49,46,24,79,"2019-07-01","2026-06-01",0,38,"Portugal","Daniel","Heuer Fernandes","Fernandes","Daniel Heuer Fernandes",8495,15228,11778,212197,1260,78,78,"1992-11-13T00:00:00.000Z",32,28,"Hamburger SV",19,2,2,"hamburger-sv",1,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p212197.png",3,4,3,1519,5,"Right",1,4,1,1,,188,81,"Male",,,"Yes","No",8000000,7000000,6000000,21000,18000,15500,"","GK Deflector",41,19,31,37,13,49,"GK","-",false,false,false,"daniel-heuer-fernandes",77,27,26,26,34,32,38,34,32,29,30
74,74,72,69,71,64,71,66,57,67,54,67,67,66,63,68,62,68,54,60,65,43,68,65,48,49,64,72,58,10,16,13,9,15,62,47,67,68,71,62,13,"2023-07-01","2026-06-01",0,21,"Germany","Levin","Öztunalı","Öztunali","Levin Öztunalı",21524,40975,40976,213134,1909,67,67,"1996-03-15T00:00:00.000Z",29,28,"Hamburger SV",19,2,2,"hamburger-sv",47,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p213134.png",0,3,2,1503,2,"Right",3,3,1,0,,184,81,"Male",,,"Yes","No",1200000,1000000,850000,13000,11000,9400,"","",74,64,66,68,50,66,"RW","CM | RM",false,false,false,"levin-oztunali",18,59,58,55,58,66,63,66,66,66,65
84,72,90,90,57,78,50,68,42,73,39,70,73,75,75,78,70,75,36,67,70,31,77,73,44,42,70,80,57,11,7,9,12,11,65,39,75,67,81,59,10,"2022-08-18","2027-06-01",0,18,"France","Jean-Luc","Dompé","Dompé","Jean-Luc Dompé",17314,9610,9610,224970,1956,74,74,"1995-08-12T00:00:00.000Z",29,28,"Hamburger SV",19,2,2,"hamburger-sv",7,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p224970.png",0,9,10,1039,7,"Right",4,3,1,0,,170,65,"Male",,,"Yes","No",4900000,4100000,3600000,28000,23500,20500,"Finesse Shot, Dead Ball, Whipped Pass, Technical, First Touch","",78,70,73,79,38,57,"LW","LM",false,false,false,"jean-luc-dompe",16,61,57,45,56,73,68,73,72,74,67
77,70,72,72,74,86,68,69,70,69,70,71,70,74,74,74,62,73,59,72,75,73,75,72,73,71,51,74,56,11,14,10,7,8,65,73,74,75,72,68,10,"2022-03-20","2027-06-01",0,47,"Switzerland","Miro","Muheim","Muheim","Miro Muheim",25355,25991,25991,232839,2096,75,75,"1998-03-24T00:00:00.000Z",27,28,"Hamburger SV",19,2,2,"hamburger-sv",28,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p232839.png",5,2,2,1508,1,"Left",3,3,1,2,,182,77,"Male",,,"Yes","No",6500000,5500000,4700000,26000,22000,19000,"Power Shot, Dead Ball, Whipped Pass","",74,65,73,72,69,75,"LB","LM",false,false,false,"miro-muheim",16,73,72,70,72,72,72,71,71,71,68
83,75,67,59,82,75,77,64,62,68,39,70,70,65,70,68,68,49,58,60,68,41,70,63,58,38,60,64,61,6,11,8,9,9,65,46,62,74,70,62,9,"2016-07-01","2029-06-01",0,116,"Gambia","Bakery","Jatta","Jatta","Bakery Jatta",3442,17224,17224,234640,1895,69,69,"1998-06-06T00:00:00.000Z",27,28,"Hamburger SV",19,2,2,"hamburger-sv",18,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p234640.png",0,9,10,1008,1,"Right",3,3,1,0,2700000,184,79,"Male",,,"Yes","No",1800000,1500000,1300000,15500,13000,11500,"Rapid, Quick Step","Career Injury Prone",79,65,64,65,47,74,"RW","RM | RB",false,false,false,"bakery-jatta",14,59,58,55,57,69,64,67,68,69,67
63,50,53,41,89,65,85,75,59,69,24,75,48,73,39,65,74,40,81,46,63,20,75,64,28,25,75,50,68,10,11,14,9,13,67,25,55,76,57,58,12,"2021-07-01","2027-06-01",0,21,"Germany","Robert","Glatzel","Glatzel","Robert Glatzel",31443,13387,13387,236533,1739,72,72,"1994-01-08T00:00:00.000Z",31,28,"Hamburger SV",19,2,2,"hamburger-sv",9,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p236533.png",0,3,6,1542,5,"Right",2,4,1,0,,193,85,"Male",,,"No","No",2300000,2000000,1700000,23500,20000,17000,"Precision Header, Enforcer","Career Injury Prone",57,72,48,63,36,75,"ST","-",false,false,false,"robert-glatzel",17,46,45,47,47,62,58,64,67,63,72
79,84,65,66,87,72,89,66,72,71,73,50,54,66,56,60,42,25,76,71,71,71,42,25,73,73,26,34,66,5,7,13,11,5,55,73,52,63,72,65,9,"2025-07-01","2028-06-01",0,133,"Nigeria","Jordan","Torunarigha","Jordan","Jordan Torunarigha",17898,36702,17898,236947,1846,74,74,"1997-08-07T00:00:00.000Z",27,28,"Hamburger SV",19,2,2,"hamburger-sv",25,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p236947.png",21,9,10,1035,5,"Left",2,2,1,0,9000000,191,80,"Male",,,"Yes","No",4600000,3900000,3300000,24000,20500,17500,"Long Ball Pass, Jockey, Intercept, Aerial Fortress, Bruiser","",82,42,52,66,73,80,"CB","-",false,false,false,"jordan-torunarigha",13,69,71,74,70,63,63,60,58,60,58
56,64,69,65,68,75,68,74,73,79,75,70,74,80,68,78,63,68,65,78,79,64,70,65,72,69,58,71,41,14,7,6,9,13,67,69,75,70,66,69,10,"2025-09-01","2028-06-01",0,7,"Belgium","Albert","Sambi Lokonga","Sambi","Albert Sambi Lokonga",1341,32524,32523,241928,2048,76,78,"1999-10-22T00:00:00.000Z",25,28,"Hamburger SV",19,2,2,"hamburger-sv",6,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p241928.png",0,9,10,1002,1,"Right",3,3,1,0,,183,73,"Male",,,"Yes","No",11000000,9500000,8000000,27500,23000,20000,"","",60,61,73,74,69,71,"CM","CDM",false,false,false,"albert-sambi-lokonga",17,71,70,70,74,72,75,73,72,71,69
